"SCHOOL_CODE","COUNTY","PUBLIC_PRIVATE","PUBLIC_SCHOOL_DISTRICT","CITY","SCHOOL_NAME","ENROLLMENT","PERCENT","lookup_address","lon","lat"
6938534,"SAN BERNARDINO","PRIVATE","","HESPERIA","HESPERIA CHRISTIAN",31,95,"HESPERIA CHRISTIAN HESPERIA , CA",-117.2971107,34.4169069
6938708,"SAN BERNARDINO","PRIVATE","","VICTORVILLE","VICTOR VALLEY CHRISTIAN ELEMENTARY",35,95,"VICTOR VALLEY CHRISTIAN ELEMENTARY VICTORVILLE , CA",-117.3309273,34.4868273
6939045,"SAN DIEGO","PRIVATE","","LA JOLLA","LA JOLLA COUNTRY DAY SCHOOL",37,95,"LA JOLLA COUNTRY DAY SCHOOL LA JOLLA , CA",-117.216727,32.878598
6939177,"SAN DIEGO","PRIVATE","","SAN DIEGO","OCEAN VIEW CHRISTIAN ACADEMY",25,95,"OCEAN VIEW CHRISTIAN ACADEMY SAN DIEGO , CA",-117.080408,32.584662
6939869,"SAN JOAQUIN","PRIVATE","","RIPON","RIPON CHRISTIAN",61,97,"RIPON CHRISTIAN RIPON , CA",-121.1323653,37.7436646
6940159,"SAN MATEO","PRIVATE","","ATHERTON","SACRED HEART SCHOOLS, ATHERTON",48,95,"SACRED HEART SCHOOLS, ATHERTON ATHERTON , CA",-122.1964641,37.4491878
6940290,"SANTA BARBARA","PRIVATE","","SANTA BARBARA","LAGUNA BLANCA SCHOOL",20,95,"LAGUNA BLANCA SCHOOL SANTA BARBARA , CA",-119.7635565,34.4229768
6941546,"TUOLUMNE","PRIVATE","","TUOLUMNE","MOTHER LODE CHRISTIAN SCHOOL",24,71,"MOTHER LODE CHRISTIAN SCHOOL TUOLUMNE , CA",-120.2377526,37.9638493
6941595,"VENTURA","PRIVATE","","CAMARILLO","CORNERSTONE CHRISTIAN",25,95,"CORNERSTONE CHRISTIAN CAMARILLO , CA",-119.0402207,34.2352047
6944128,"LOS ANGELES","PRIVATE","","BELLFLOWER","VALLEY CHRISTIAN ELEMENTARY SCHOOL",71,96,"VALLEY CHRISTIAN ELEMENTARY SCHOOL BELLFLOWER , CA",-118.112428,33.875173
6954069,"LOS ANGELES","PRIVATE","","PASADENA","ST. GREGORYS A. AND M.HOVSEPIAN SCHOOL",21,95,"ST. GREGORYS A. AND M.HOVSEPIAN SCHOOL PASADENA , CA",-118.104288,34.1469202
6954218,"RIVERSIDE","PRIVATE","","RIVERSIDE","BETHEL CHRISTIAN SCHOOLS",33,95,"BETHEL CHRISTIAN SCHOOLS RIVERSIDE , CA",-117.4291166,33.9013608
