"SCHOOL_CODE","lat","lon"
113647,33.7550514,-117.4699963
113654,33.9648965,-117.5854897
113662,37.284758,-121.821798
113688,34.1123846,-117.5201405
113696,33.4640195,-117.1075303
113704,37.3217965,-121.8864563
113712,33.8202969,-117.9144321
113738,35.4161337,-119.1379749
113746,33.723925,-117.14785
113761,37.999797,-121.740621
113779,34.5126581,-117.3419074
113795,37.7221413,-120.9469188
113803,37.6827696,-120.9267953
113811,36.7881064,-119.8181496
113829,36.7378701,-119.7349164
113852,37.7346959,-120.9539447
113878,38.6509826,-121.446433
113894,34.2045419,-118.135119
113928,34.5955426,-117.3366246
113936,33.9535803,-117.0209843
113944,34.086832,-117.4721481
113951,35.3170386,-119.1119848
113985,32.6895782,-115.4753399
113993,36.7999639,-119.9084299
114009,32.611751,-116.974545
114033,32.6980184,-117.1268889
114041,32.7419953,-117.102773
114058,33.5299857,-117.1856005
114074,37.2764664,-120.4822046
114090,34.4112469,-117.3782354
114181,34.0023657,-117.3728381
114256,34.0286112,-117.0380794
114322,39.2273917,-121.0839412
114330,39.2527968,-121.1345109
114355,36.7679385,-119.7297714
114363,37.7937362,-122.1993536
114371,38.7904635,-121.2278303
114561,37.5321206,-120.8674306
114579,37.7185198,-121.8623404
114595,36.1495083,-119.0578681
114603,33.8482456,-118.1955102
114645,37.7731009,-121.5498897
114652,39.0020432,-121.5493395
114660,38.4176985,-121.5283283
114686,32.9153761,-117.2255864
114702,38.5554569,-121.23761
114710,38.5525935,-121.5245416
114876,37.975869,-121.278451
114884,33.9780701,-118.2341775
114900,37.369403,-121.836358
114934,38.465778,-122.772839
114967,34.0083998,-118.2831393
114975,39.0738386,-121.1126801
114983,38.6743289,-121.1954123
114991,39.7060063,-121.7890939
115014,37.8101888,-122.2792398
115048,34.2765891,-118.4033703
115055,39.1467722,-123.2011614
115063,38.0094795,-121.8228676
115089,38.699712,-120.821872
115105,34.2266102,-119.0595389
115139,34.0107206,-118.2557786
115154,40.889477,-124.086817
115170,34.0617744,-117.7225771
115204,37.798751,-122.270725
115220,38.600929,-121.4503941
115303,38.0005538,-121.2741707
115410,34.210338,-118.333809
